Tie Number,Color,Text,TextColor
1,Red,"FEB 24",White
2,White,"20041N58
042024",Blue
3,White,"5 59",Black
4,White,"Best By 03/23/2024
23 342 20",Black
5,White,"BEST BEFORE
03-01-24",Black
6,White,"$7.99 LM2
24 110 111 01:59",Black
7,Light Blue,"",N/A
8,White,"2023
23261 345",Blue
9,White,"BEST BEFORE
01-17-25",Black
10,White,"23/12/28
",Black
11,White,"24010 011 L3",Black
12,Light Blue,"",N/A
13,Light Blue,"",N/A
14,Light Blue,"",N/A
15,White,"BEST BEFORE
09-13-24",Black
16,White,"$7.99 L3
24 097 097 130
Best By
01/20/2024",Black
17,White,"BEST BEFORE
08-23-24",Black
18,White,"BEST BEFORE
08-13-24",Black
19,White,"01 25 24
T C",Blue
20,Light Blue,"",N/A
21,Light Blue,"",N/A
22,Light Blue,"",N/A